year_ceremony,female,black,asian,latin_american,non_white,white,male,total_nominees,female_winners,black_winners,asian_winners,latin_american_winners,non_white_winners,white_winners,male_winners,total_winners
1928,3.0,0.0,0.0,0.0,0.0,35.0,32.0,35.0,1.0,0.0,0.0,0.0,0.0,15.0,14.0,15.0
1929,8.0,0.0,0.0,0.0,0.0,38.0,30.0,38.0,1.0,0.0,0.0,0.0,0.0,7.0,6.0,7.0
1930,8.0,0.0,0.0,0.0,0.0,42.0,34.0,42.0,2.0,0.0,0.0,0.0,0.0,8.0,6.0,8.0
1931,5.0,0.0,0.0,1.0,1.0,43.0,39.0,44.0,1.0,0.0,0.0,0.0,0.0,9.0,8.0,9.0
1932,6.0,0.0,0.0,0.0,0.0,45.0,39.0,45.0,2.0,0.0,0.0,0.0,0.0,14.0,12.0,14.0
1933,6.0,0.0,0.0,0.0,0.0,62.0,56.0,62.0,2.0,0.0,0.0,0.0,0.0,19.0,17.0,19.0
1935,7.0,0.0,0.0,0.0,0.0,64.0,57.0,64.0,1.0,0.0,0.0,0.0,0.0,17.0,16.0,17.0
1936,10.0,0.0,1.0,0.0,1.0,84.0,75.0,85.0,1.0,0.0,0.0,0.0,0.0,18.0,17.0,18.0
1937,17.0,0.0,1.0,0.0,1.0,106.0,90.0,107.0,4.0,0.0,0.0,0.0,0.0,22.0,18.0,22.0
1938,14.0,0.0,0.0,0.0,0.0,123.0,109.0,123.0,3.0,0.0,0.0,0.0,0.0,25.0,22.0,25.0
1939,17.0,0.0,1.0,0.0,1.0,138.0,122.0,139.0,4.0,0.0,0.0,0.0,0.0,25.0,21.0,25.0
1940,16.0,1.0,0.0,0.0,1.0,142.0,127.0,143.0,3.0,1.0,0.0,0.0,1.0,25.0,23.0,26.0
1941,16.0,0.0,1.0,0.0,1.0,159.0,144.0,160.0,3.0,0.0,0.0,0.0,0.0,24.0,21.0,24.0
1942,18.0,1.0,0.0,0.0,1.0,182.0,165.0,183.0,3.0,0.0,0.0,0.0,0.0,28.0,25.0,28.0
1943,17.0,0.0,1.0,2.0,3.0,183.0,169.0,186.0,4.0,0.0,0.0,0.0,0.0,30.0,26.0,30.0
1944,14.0,0.0,2.0,0.0,2.0,180.0,168.0,182.0,2.0,0.0,0.0,0.0,0.0,26.0,24.0,26.0
1945,20.0,0.0,0.0,2.0,2.0,167.0,149.0,169.0,6.0,0.0,0.0,1.0,1.0,26.0,21.0,27.0
1946,21.0,0.0,0.0,0.0,0.0,160.0,139.0,160.0,4.0,0.0,0.0,0.0,0.0,28.0,24.0,28.0
1947,16.0,0.0,0.0,0.0,0.0,104.0,88.0,104.0,4.0,0.0,0.0,0.0,0.0,28.0,24.0,28.0
1948,16.0,0.0,0.0,2.0,2.0,103.0,89.0,105.0,2.0,0.0,0.0,0.0,0.0,28.0,26.0,28.0
1949,18.0,0.0,0.0,1.0,1.0,108.0,91.0,109.0,5.0,0.0,0.0,0.0,0.0,32.0,27.0,32.0
1950,17.0,1.0,0.0,2.0,3.0,109.0,95.0,112.0,4.0,0.0,0.0,1.0,1.0,31.0,28.0,32.0
1951,18.0,0.0,0.0,1.0,1.0,111.0,94.0,112.0,5.0,0.0,0.0,1.0,1.0,29.0,25.0,30.0
