year_ceremony,female,black,asian,latin_american,non_white,white,male,total_nominees,female_winners,black_winners,asian_winners,latin_american_winners,non_white_winners,white_winners,male_winners,total_winners
1928,8.571428571428571,0.0,0.0,0.0,0.0,100.0,91.42857142857143,100.0,2.857142857142857,0.0,0.0,0.0,0.0,42.85714285714286,40.0,42.85714285714286
1929,21.05263157894737,0.0,0.0,0.0,0.0,100.0,78.94736842105263,100.0,2.6315789473684212,0.0,0.0,0.0,0.0,18.42105263157895,15.789473684210526,18.42105263157895
1930,19.047619047619047,0.0,0.0,0.0,0.0,100.0,80.95238095238095,100.0,4.761904761904762,0.0,0.0,0.0,0.0,19.047619047619047,14.285714285714286,19.047619047619047
1931,11.363636363636363,0.0,0.0,2.272727272727273,2.272727272727273,97.72727272727273,88.63636363636364,100.0,2.272727272727273,0.0,0.0,0.0,0.0,20.454545454545453,18.181818181818183,20.454545454545453
1932,13.333333333333332,0.0,0.0,0.0,0.0,100.0,86.66666666666667,100.0,4.444444444444445,0.0,0.0,0.0,0.0,31.11111111111111,26.666666666666664,31.11111111111111
1933,9.67741935483871,0.0,0.0,0.0,0.0,100.0,90.3225806451613,100.0,3.2258064516129035,0.0,0.0,0.0,0.0,30.64516129032258,27.419354838709676,30.64516129032258
1935,10.9375,0.0,0.0,0.0,0.0,100.0,89.0625,100.0,1.5625,0.0,0.0,0.0,0.0,26.5625,25.0,26.5625
1936,11.764705882352942,0.0,1.1764705882352942,0.0,1.1764705882352942,98.82352941176471,88.23529411764706,100.0,1.1764705882352942,0.0,0.0,0.0,0.0,21.176470588235293,20.0,21.176470588235293
1937,15.887850467289718,0.0,0.9345794392523364,0.0,0.9345794392523364,99.06542056074765,84.11214953271028,100.0,3.7383177570093458,0.0,0.0,0.0,0.0,20.5607476635514,16.822429906542055,20.5607476635514
1938,11.382113821138212,0.0,0.0,0.0,0.0,100.0,88.6178861788618,100.0,2.4390243902439024,0.0,0.0,0.0,0.0,20.32520325203252,17.88617886178862,20.32520325203252
