year_ceremony,total_winners,female_winners,black_winners,asian_winners,latin_american_winners,non_white_winners,white_winners,male_winners
1928,100.0,6.666666666666667,0.0,0.0,0.0,0.0,100.0,93.33333333333334
1929,99.99999999999999,14.285714285714285,0.0,0.0,0.0,0.0,99.99999999999999,85.71428571428571
1930,100.0,25.0,0.0,0.0,0.0,0.0,100.0,75.0
1931,100.0,11.11111111111111,0.0,0.0,0.0,0.0,100.0,88.88888888888889
1932,99.99999999999999,14.285714285714285,0.0,0.0,0.0,0.0,99.99999999999999,85.71428571428571
1933,100.0,10.526315789473685,0.0,0.0,0.0,0.0,100.0,89.47368421052632
1935,99.99999999999999,5.88235294117647,0.0,0.0,0.0,0.0,99.99999999999999,94.11764705882352
1936,100.0,5.555555555555555,0.0,0.0,0.0,0.0,100.0,94.44444444444444
1937,100.0,18.181818181818183,0.0,0.0,0.0,0.0,100.0,81.81818181818181
1938,100.0,12.0,0.0,0.0,0.0,0.0,100.0,88.0
1939,100.0,16.0,0.0,0.0,0.0,0.0,100.0,84.0
1940,100.0,11.538461538461538,3.846153846153846,0.0,0.0,3.846153846153846,96.15384615384615,88.46153846153845
1941,100.0,12.5,0.0,0.0,0.0,0.0,100.0,87.5
1942,99.99999999999999,10.714285714285714,0.0,0.0,0.0,0.0,99.99999999999999,89.28571428571428
1943,100.0,13.333333333333334,0.0,0.0,0.0,0.0,100.0,86.66666666666667
1944,100.0,7.692307692307692,0.0,0.0,0.0,0.0,100.0,92.3076923076923
1945,100.0,22.22222222222222,0.0,0.0,3.7037037037037033,3.7037037037037033,96.29629629629629,77.77777777777777
1946,99.99999999999999,14.285714285714285,0.0,0.0,0.0,0.0,99.99999999999999,85.71428571428571
1947,99.99999999999999,14.285714285714285,0.0,0.0,0.0,0.0,99.99999999999999,85.71428571428571
1948,99.99999999999999,7.142857142857142,0.0,0.0,0.0,0.0,99.99999999999999,92.85714285714285
1949,100.0,15.625,0.0,0.0,0.0,0.0,100.0,84.375
1950,100.0,12.5,0.0,0.0,3.125,3.125,96.875,87.5
1951,100.0,16.666666666666668,0.0,0.0,3.3333333333333335,3.3333333333333335,96.66666666666667,83.33333333333334
1952,100.0,13.793103448275863,0.0,0.0,0.0,0.0,100.0,86.20689655172414
1953,100.0,9.09090909090909,0.0,0.0,3.0303030303030303,3.0303030303030303,96.96969696969697,90.9090909090909
1954,100.0,9.67741935483871,0.0,0.0,0.0,0.0,100.0,90.3225806451613
1955,100.0,12.121212121212121,0.0,3.0303030303030303,3.0303030303030303,6.0606060606060606,93.93939393939394,87.87878787878788
1956,100.0,18.51851851851852,3.7037037037037033,3.7037037037037033,0.0,7.4074074074074066,92.59259259259258,81.48148148148148
1957,100.0,10.0,0.0,3.3333333333333335,3.3333333333333335,6.666666666666667,93.33333333333334,90.0
1958,100.0,12.0,0.0,4.0,0.0,4.0,96.0,88.0
